,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
70,site70,MYD13Q1,18.035500398374616,103.61976336078854,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:49_386382856L18.0355003984L103.619763361S17L17_MYD13Q1_site70
71,site71,MYD13Q1,17.987869800181894,104.20096478956714,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:51_471307881L17.9878698002L104.20096479S25L25_MYD13Q1_site71
72,site72,MYD13Q1,17.96855818329589,102.38087091116263,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:53_473679120L17.9685581833L102.380870911S25L25_MYD13Q1_site72
73,site73,MYD13Q1,17.942563744220696,103.74041159077919,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:55_636311516L17.9425637442L103.740411591S25L25_MYD13Q1_site73
74,site74,MYD13Q1,17.895978117761857,103.04934266377425,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:57_679424126L17.8959781178L103.049342664S25L25_MYD13Q1_site74
75,site75,MYD13Q1,17.890104061963143,102.89947065334903,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:05:59_579437908L17.890104062L102.899470653S17L17_MYD13Q1_site75
76,site76,MYD13Q1,17.895438523449403,104.0955906174767,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:01_626751915L17.8954385234L104.095590617S17L17_MYD13Q1_site76
77,site77,MYD13Q1,17.861877332212494,103.88833486971426,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:03_701946667L17.8618773322L103.88833487S17L17_MYD13Q1_site77
78,site78,MYD13Q1,17.85471273736828,103.07361386499097,1616095@student.hcmus.edu.vn,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:05_624918647L17.8547127374L103.073613865S33L33_MYD13Q1_site78
79,site79,MYD13Q1,17.85194857942005,103.95558937524561,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:07_623654039L17.8519485794L103.955589375S25L25_MYD13Q1_site79
80,site80,MYD13Q1,17.832361124152637,102.53914219752744,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:09_518862705L17.8323611242L102.539142198S17L17_MYD13Q1_site80
81,site81,MYD13Q1,17.82467263153253,103.96790144136351,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:11_610059721L17.8246726315L103.967901441S25L25_MYD13Q1_site81
82,site82,MYD13Q1,17.815017941312366,102.41580471592754,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:13_748386730L17.8150179413L102.415804716S17L17_MYD13Q1_site82
83,site83,MYD13Q1,17.806039331976372,103.08696267176934,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:15_796383010L17.806039332L103.086962672S17L17_MYD13Q1_site83
84,site84,MYD13Q1,17.79000872874926,102.68443758140383,1616095@student.hcmus.edu.vn,A2002185,A2018185,1,1,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:17_923799124L17.7900087287L102.684437581S9L9_MYD13Q1_site84
85,site85,MYD13Q1,17.752383393353764,103.37206384209726,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:19_824465363L17.7523833934L103.372063842S17L17_MYD13Q1_site85
86,site86,MYD13Q1,17.7431714201741,104.11370649522078,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:21_735818303L17.7431714202L104.113706495S25L25_MYD13Q1_site86
87,site87,MYD13Q1,17.723554168834966,103.27109552519443,1616095@student.hcmus.edu.vn,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:23_628661698L17.7235541688L103.271095525S25L25_MYD13Q1_site87
88,site88,MYD13Q1,17.722747000810944,103.62107184907389,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:25_582732560L17.7227470008L103.621071849S17L17_MYD13Q1_site88
89,site89,MYD13Q1,17.719282723939713,103.58802322050192,1616095@student.hcmus.edu.vn,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_07:06:27_553532837L17.7192827239L103.588023221S17L17_MYD13Q1_site89
