,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
110,site110,MOD13Q1,17.39794786309903,104.17371310325157,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:32_159893125L17.3979478631L104.173713103S17L17_MOD13Q1_site110
111,site111,MOD13Q1,17.399468371503147,104.21498494704072,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:34_648454388L17.3994683715L104.214984947S17L17_MOD13Q1_site111
112,site112,MOD13Q1,17.366141668935743,104.05872875498423,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:37_238870783L17.3661416689L104.058728755S17L17_MOD13Q1_site112
113,site113,MOD13Q1,17.373902453794923,102.60757650482554,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:39_573689369L17.3739024538L102.607576505S17L17_MOD13Q1_site113
114,site114,MOD13Q1,17.21774175854409,102.76700821245124,1616095@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:42_899449743L17.2177417585L102.767008212S25L25_MOD13Q1_site114
115,site115,MOD13Q1,17.212999024520606,103.0488752682484,1616095@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:45_509391953L17.2129990245L103.048875268S25L25_MOD13Q1_site115
116,site116,MOD13Q1,17.16650692199881,103.79476687555518,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:48_035970845L17.166506922L103.794766876S17L17_MOD13Q1_site116
117,site117,MOD13Q1,17.180659346186083,103.03818043410513,1616095@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:50_672687760L17.1806593462L103.038180434S25L25_MOD13Q1_site117
118,site118,MOD13Q1,17.161472284265074,104.31068846324419,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:53_071926442L17.1614722843L104.310688463S17L17_MOD13Q1_site118
119,site119,MOD13Q1,17.150533187668515,104.60149614989275,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:55_183926054L17.1505331877L104.60149615S17L17_MOD13Q1_site119
120,site120,MOD13Q1,17.11931501449505,104.19286879773699,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:57_418659487L17.1193150145L104.192868798S17L17_MOD13Q1_site120
121,site121,MOD13Q1,17.102939409537292,102.9353300774543,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:06:59_552049872L17.1029394095L102.935330077S17L17_MOD13Q1_site121
122,site122,MOD13Q1,17.046556661198807,103.04323792737003,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:01_941056864L17.0465566612L103.043237927S17L17_MOD13Q1_site122
123,site123,MOD13Q1,16.961158490591398,104.3139235295003,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:04_683782841L16.9611584906L104.31392353S17L17_MOD13Q1_site123
124,site124,MOD13Q1,16.94223434478619,104.41586931876603,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:07_070434981L16.9422343448L104.415869319S17L17_MOD13Q1_site124
125,site125,MOD13Q1,16.924155663493057,104.15808330088349,1616095@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:10_326188094L16.9241556635L104.158083301S25L25_MOD13Q1_site125
126,site126,MOD13Q1,16.87926556387752,104.52638656937636,1616095@student.hcmus.edu.vn,A2000049,A2018193,1,1,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:12_832737063L16.8792655639L104.526386569S9L9_MOD13Q1_site126
127,site127,MOD13Q1,16.845816666902923,103.75453309839254,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:15_287385466L16.8458166669L103.754533098S17L17_MOD13Q1_site127
128,site128,MOD13Q1,16.808600581903704,104.54922658304007,1616095@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:17_646924227L16.8086005819L104.549226583S33L33_MOD13Q1_site128
129,site129,MOD13Q1,16.770813352195656,104.04606968173823,1616095@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/06Aug2018_11:07:21_487288480L16.7708133522L104.046069682S17L17_MOD13Q1_site129
