,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
50,site100,MOD13Q1,21.857445800103427,100.9407247014918,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:15_719993129L21.8574458001L100.940724701S17L17_MOD13Q1_site100
51,site101,MOD13Q1,21.440917186182833,103.10341154927461,1512002@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:17_852841066L21.4409171862L103.103411549S33L33_MOD13Q1_site101
52,site102,MOD13Q1,20.25403060736098,100.03737209560963,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:19_934203214L20.2540306074L100.037372096S25L25_MOD13Q1_site102
53,site103,MOD13Q1,19.82734599033658,99.9334349314022,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:23_103300774L19.8273459903L99.9334349314S25L25_MOD13Q1_site103
54,site104,MOD13Q1,19.78702034224918,100.01422482392496,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:25_142905500L19.7870203422L100.014224824S25L25_MOD13Q1_site104
55,site105,MOD13Q1,19.35376863806565,99.88561521069586,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:27_371946603L19.3537686381L99.8856152107S25L25_MOD13Q1_site105
56,site106,MOD13Q1,19.002303699293325,99.95785205397095,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:29_516273079L19.0023036993L99.957852054S25L25_MOD13Q1_site106
57,site107,MOD13Q1,18.468190897034006,102.93350880555278,1512002@student.hcmus.edu.vn,A2000049,A2018193,8,8,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:31_643191817L18.468190897L102.933508806S65L65_MOD13Q1_site107
58,site108,MOD13Q1,18.382753731316036,103.30650238550467,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:33_809016493L18.3827537313L103.306502386S25L25_MOD13Q1_site108
59,site109,MOD13Q1,18.39266260050172,103.45125973998866,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:35_717649925L18.3926626005L103.45125974S25L25_MOD13Q1_site109
60,site110,MOD13Q1,18.38013492513533,103.68011171685589,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:37_905230301L18.3801349251L103.680111717S17L17_MOD13Q1_site110
61,site111,MOD13Q1,18.306893909514898,103.97988535517197,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:40_145454589L18.3068939095L103.979885355S17L17_MOD13Q1_site111
62,site112,MOD13Q1,18.2605378164093,103.8726293950325,1512002@student.hcmus.edu.vn,A2000049,A2018193,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:42_306838590L18.2605378164L103.872629395S25L25_MOD13Q1_site112
63,site113,MOD13Q1,18.234983237064327,103.24598254946606,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:44_358592006L18.2349832371L103.245982549S17L17_MOD13Q1_site113
64,site114,MOD13Q1,18.21612252967142,103.3557517102418,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:46_502819914L18.2161225297L103.35575171S17L17_MOD13Q1_site114
65,site115,MOD13Q1,18.231585114741492,103.21535349802603,1512002@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:48_577978440L18.2315851147L103.215353498S33L33_MOD13Q1_site115
66,site116,MOD13Q1,18.180925267150826,102.4452233511832,1512002@student.hcmus.edu.vn,A2000049,A2018193,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:50_806362952L18.1809252672L102.445223351S33L33_MOD13Q1_site116
67,site117,MOD13Q1,18.12928301622993,102.65224306122728,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:52_970090400L18.1292830162L102.652243061S17L17_MOD13Q1_site117
68,site118,MOD13Q1,18.113804987314012,102.59087201927751,1512002@student.hcmus.edu.vn,A2000049,A2018193,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:55_043470230L18.1138049873L102.590872019S17L17_MOD13Q1_site118
69,site119,MOD13Q1,18.12267087802415,104.1263143624197,1512002@student.hcmus.edu.vn,A2000049,A2018193,5,5,https://modis.ornl.gov/subsetdata/05Aug2018_06:51:57_036547148L18.122670878L104.126314362S41L41_MOD13Q1_site119
