,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
50,site100,MYD13Q1,21.857445800103427,100.9407247014918,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:14_715063936L21.8574458001L100.940724701S17L17_MYD13Q1_site100
51,site101,MYD13Q1,21.440917186182833,103.10341154927461,leduongtuananh97@gmail.com,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:16_786877701L21.4409171862L103.103411549S33L33_MYD13Q1_site101
52,site102,MYD13Q1,20.25403060736098,100.03737209560963,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:18_945096350L20.2540306074L100.037372096S25L25_MYD13Q1_site102
53,site103,MYD13Q1,19.82734599033658,99.9334349314022,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:21_970828510L19.8273459903L99.9334349314S25L25_MYD13Q1_site103
54,site104,MYD13Q1,19.78702034224918,100.01422482392496,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:24_019818910L19.7870203422L100.014224824S25L25_MYD13Q1_site104
55,site105,MYD13Q1,19.35376863806565,99.88561521069586,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:26_111158917L19.3537686381L99.8856152107S25L25_MYD13Q1_site105
56,site106,MYD13Q1,19.002303699293325,99.95785205397095,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:28_241524216L19.0023036993L99.957852054S25L25_MYD13Q1_site106
57,site107,MYD13Q1,18.468190897034006,102.93350880555278,leduongtuananh97@gmail.com,A2002185,A2018185,8,8,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:30_395202072L18.468190897L102.933508806S65L65_MYD13Q1_site107
58,site108,MYD13Q1,18.382753731316036,103.30650238550467,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:32_463747388L18.3827537313L103.306502386S25L25_MYD13Q1_site108
59,site109,MYD13Q1,18.39266260050172,103.45125973998866,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:34_614331627L18.3926626005L103.45125974S25L25_MYD13Q1_site109
60,site110,MYD13Q1,18.38013492513533,103.68011171685589,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:36_765277957L18.3801349251L103.680111717S17L17_MYD13Q1_site110
61,site111,MYD13Q1,18.306893909514898,103.97988535517197,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:38_901587012L18.3068939095L103.979885355S17L17_MYD13Q1_site111
62,site112,MYD13Q1,18.2605378164093,103.8726293950325,leduongtuananh97@gmail.com,A2002185,A2018185,3,3,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:40_918160523L18.2605378164L103.872629395S25L25_MYD13Q1_site112
63,site113,MYD13Q1,18.234983237064327,103.24598254946606,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:42_807716060L18.2349832371L103.245982549S17L17_MYD13Q1_site113
64,site114,MYD13Q1,18.21612252967142,103.3557517102418,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:44_957989649L18.2161225297L103.35575171S17L17_MYD13Q1_site114
65,site115,MYD13Q1,18.231585114741492,103.21535349802603,leduongtuananh97@gmail.com,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:46_999082172L18.2315851147L103.215353498S33L33_MYD13Q1_site115
66,site116,MYD13Q1,18.180925267150826,102.4452233511832,leduongtuananh97@gmail.com,A2002185,A2018185,4,4,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:49_167156772L18.1809252672L102.445223351S33L33_MYD13Q1_site116
67,site117,MYD13Q1,18.12928301622993,102.65224306122728,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:51_267105044L18.1292830162L102.652243061S17L17_MYD13Q1_site117
68,site118,MYD13Q1,18.113804987314012,102.59087201927751,leduongtuananh97@gmail.com,A2002185,A2018185,2,2,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:53_422665591L18.1138049873L102.590872019S17L17_MYD13Q1_site118
69,site119,MYD13Q1,18.12267087802415,104.1263143624197,leduongtuananh97@gmail.com,A2002185,A2018185,5,5,https://modis.ornl.gov/subsetdata/05Aug2018_06:47:55_551961559L18.122670878L104.126314362S41L41_MYD13Q1_site119
