,site_id,product,latitude,longitude,email,start_date,end_date,kmAboveBelow,kmLeftRight,order_uid
0,site0,MYD13Q1,12.909667465035685,104.04910517189141,1512489@student.hcmus.edu.vn,A2002185,A2018185,64,64,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:00_474228861L12.909667465L104.049105172S513L513_MYD13Q1_site0
1,site1,MYD13Q1,25.78871606370018,100.1953318267777,1512489@student.hcmus.edu.vn,A2002185,A2018169,24,24,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:03_960237751L25.7887160637L100.195331827S193L193_MYD13Q1_site1
2,site2,MYD13Q1,18.586321530458974,102.63476005462799,1512489@student.hcmus.edu.vn,A2002185,A2018169,37,37,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:07_218445333L18.5863215305L102.634760055S297L297_MYD13Q1_site2
3,site3,MYD13Q1,16.729528722980266,102.53383782042863,1512489@student.hcmus.edu.vn,A2002185,A2018169,31,31,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:09_468542855L16.729528723L102.53383782S249L249_MYD13Q1_site3
4,site4,MYD13Q1,16.748836915920027,103.43834851186996,1512489@student.hcmus.edu.vn,A2002185,A2018169,37,37,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:11_437297798L16.7488369159L103.438348512S297L297_MYD13Q1_site4
5,site5,MYD13Q1,15.044525697834212,105.3816076514864,1512489@student.hcmus.edu.vn,A2002185,A2018185,29,29,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:13_443184355L15.0445256978L105.381607651S233L233_MYD13Q1_site5
6,site6,MYD13Q1,24.699463586321087,100.34201766875154,1512489@student.hcmus.edu.vn,A2002185,A2018169,27,27,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:15_380914746L24.6994635863L100.342017669S217L217_MYD13Q1_site6
7,site7,MYD13Q1,19.169775127740934,99.87569501737315,1512489@student.hcmus.edu.vn,A2002185,A2018169,6,6,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:17_333905147L19.1697751277L99.8756950174S49L49_MYD13Q1_site7
8,site8,MYD13Q1,18.30973183965102,103.68252557065354,1512489@student.hcmus.edu.vn,A2002185,A2018169,7,7,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:19_272033897L18.3097318397L103.682525571S57L57_MYD13Q1_site8
9,site9,MYD13Q1,18.267442333709127,102.43816560472207,1512489@student.hcmus.edu.vn,A2002185,A2018169,6,6,https://modis.ornl.gov/subsetdata/27Jul2018_10:14:21_250883174L18.2674423337L102.438165605S49L49_MYD13Q1_site9
